STRECKE_NR,RICHTUNG,KM_I,KM_L,BEZEICHNUNG,STELLE_ART,KUERZEL,GK_R_DGN,GK_H_DGN,GEOGR_BREITE,GEOGR_LAENGE
1000,0,117290016,"172,9 + 16",Flensburg Weiche,Bf,AFW,3525691.331,6069974.991,54.76015264,9.39913684
1000,0,117440000,"174,4 + 0",Flensburg Friedensweg,Abzw,AFR,3525333.479,6071281.835,54.7719115,9.3936914
1000,0,117440000,"174,4 + 0",Flensburg Friedensweg,Abzw,AFR,3525333.479,6071281.835,54.7719115,9.3936914
1000,0,117970084,"179,7 + 84",Flensburg Grenze,Gp,AXFW,3523405.063,6076279.823,54.81690693,9.36412714
1005,0,100000000,"0,0 + 0",Flensburg,Bf,AF,3528132.808,6071715.352,54.77565723,9.43723464
1005,0,100160086,"1,6 + 86",Flensburg Süd,Awanst,AFS,3528716.414,6070532.501,54.76499755,9.44618769
1005,0,100540095,"5,4 + 95",Flensburg Friedensweg,Abzw,AFR,3525333.479,6071281.835,54.7719115,9.3936914
1011,0,101410058,"14,1 + 58",Ohrstedt,Awanst,AOR,3514739.787,6041428.881,54.50412505,9.22756095
1011,0,102620091,"26,2 + 91",Husum,Bf,AHM,3503635.17,6038048.565,54.47395527,9.05608041
1020,0,100560000,"5,6 + 0",Kronshagen,Hp,AKRH,3570547.122,6022844.919,54.33249291,10.08462469
1020,0,100770050,"7,7 + 50",Suchsdorf,Bf,ASU,3571002.097,6024873.725,54.35065505,10.09210132
1020,0,101370000,"13,7 + 0",Neuwittenbek,Bf,ANW,3566936.257,6027229.796,54.37237009,10.0301046
1020,0,101910049,"19,1 + 49",Gettorf,Bf,AGF,3563617.979,6031538.251,54.41149979,9.97996893
1020,0,103100097,"31,0 + 97",Eckernförde,Bf,AEC,3554199.841,6037876.008,54.46952641,9.83606973
1020,0,103970036,"39,7 + 36",Rieseby,Hp,ARY,3553174.592,6046090.961,54.54343527,9.82173604
1020,0,105130034,"51,3 + 34",Süderbrarup,Bf,ASUE,3549871.129,6056619.527,54.63835631,9.77247893
1020,0,106250003,"62,5 + 3",Sörup,Bf,ASOE,3543207.206,6065471.207,54.71849172,9.67057578
1020,0,107060039,"70,6 + 39",Husby,Hp,AY,3537093.133,6070716.591,54.76610286,9.57635983
1020,0,108060043,"80,6 + 43",Flensburg,Bf,AF,3528150.877,6071750.32,54.77597037,9.43751884
1022,0,100000094,"0,0 + 94",Kiel Hbf,Bf,AK,3573701.043,6021115.14,54.31650858,10.13267725
